,ghi,temp,wind,load,price,price_base,hour,hour_sin,hour_cos,p_pv,p_wind
2021-03-17 18:00:00+00:00,0.0,20.69,2.55,12.502368021751817,0,0.12,18.0,-1.0,-1.8369701987210297e-16,0.0,0.0
2021-03-17 19:00:00+00:00,0.0,20.53,2.5,12.961852976381465,0,0.12,19.0,-0.9659258262890684,0.2588190451025203,0.0,0.0
2021-03-17 20:00:00+00:00,0.0,20.41,2.43,13.416743541486916,0,0.12,20.0,-0.8660254037844386,0.5000000000000001,0.0,0.0
2021-03-17 21:00:00+00:00,0.0,20.29,2.43,13.476885309602316,0,0.12,21.0,-0.7071067811865477,0.7071067811865474,0.0,0.0
2021-03-17 22:00:00+00:00,0.0,20.24,2.37,10.375570215461739,0,0.12,22.0,-0.5000000000000004,0.8660254037844384,0.0,0.0
2021-03-17 23:00:00+00:00,75.35,21.47,2.14,10.086985088344932,0,0.12,23.0,-0.25881904510252157,0.9659258262890681,1.7631899999999998,0.0
2021-03-18 00:00:00+00:00,301.65,23.34,2.29,11.820555661092296,0,0.12,0.0,0.0,1.0,7.058609999999999,0.0
2021-03-18 01:00:00+00:00,519.53,24.8,2.26,13.631014843892702,0,0.12,1.0,0.25881904510252074,0.9659258262890683,12.157001999999999,0.0
2021-03-18 02:00:00+00:00,750.12,26.37,2.24,12.690641728756775,0,0.12,2.0,0.49999999999999994,0.8660254037844387,17.552808,0.0
2021-03-18 03:00:00+00:00,869.1,27.41,2.22,13.871675329483299,0,0.12,3.0,0.7071067811865475,0.7071067811865476,20.33694,0.0
2021-03-18 04:00:00+00:00,948.72,28.12,2.41,14.032533273180139,0,0.12,4.0,0.8660254037844386,0.5000000000000001,22.200048,0.0
2021-03-18 05:00:00+00:00,927.58,28.39,2.71,12.979039913311686,0,0.12,5.0,0.9659258262890683,0.25881904510252074,21.705372,0.0
2021-03-18 06:00:00+00:00,845.55,28.27,3.05,10.13834190792467,0,0.12,6.0,1.0,6.123233995736766e-17,19.78587,1.7146776406035483e-06
2021-03-18 07:00:00+00:00,676.65,27.78,3.34,9.793410918072022,0,0.12,7.0,0.9659258262890683,-0.25881904510252063,15.833609999999998,0.00053914951989026
2021-03-18 08:00:00+00:00,482.02,26.94,3.57,11.701713073750412,0,0.12,8.0,0.8660254037844387,-0.4999999999999998,11.279267999999998,0.0025403703703703677
2021-03-18 09:00:00+00:00,255.9,25.78,3.64,13.501425789572174,0,0.12,9.0,0.7071067811865476,-0.7071067811865475,5.988059999999999,0.003595939643347053
2021-03-18 10:00:00+00:00,44.92,24.11,3.09,12.549707691683635,0,0.12,10.0,0.49999999999999994,-0.8660254037844387,1.0511279999999998,9.999999999999953e-06
2021-03-18 11:00:00+00:00,0.0,22.89,2.99,13.136248653749258,0,0.12,11.0,0.258819045102521,-0.9659258262890682,0.0,0.0
2021-03-18 12:00:00+00:00,0.0,22.64,2.89,14.58038069888409,0,0.12,12.0,1.2246467991473532e-16,-1.0,0.0,0.0
2021-03-18 13:00:00+00:00,0.0,22.54,2.87,12.962914254740888,0,0.12,13.0,-0.2588190451025208,-0.9659258262890683,0.0,0.0
2021-03-18 14:00:00+00:00,0.0,22.46,2.66,10.503845350210971,0,0.12,14.0,-0.4999999999999997,-0.8660254037844388,0.0,0.0
2021-03-18 15:00:00+00:00,0.0,22.37,2.64,9.314359790496603,0,0.12,15.0,-0.7071067811865471,-0.7071067811865479,0.0,0.0
2021-03-18 16:00:00+00:00,0.0,22.31,2.6,11.966716493394161,0,0.12,16.0,-0.8660254037844384,-0.5000000000000004,0.0,0.0
